,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
1419,1420,184585,157303,9/20/2013 0:00,72,77,right,medium,medium,25,25,25,25,25,25,25,25,25,25,52,56,35,66,41,35,63,33,74,25,25,23,25,25,25,25,25,25,75,66,62,72,76
1420,1421,184585,157303,3/28/2013 0:00,72,77,right,medium,medium,14,10,10,15,10,10,17,11,11,17,52,56,35,66,41,35,63,50,74,13,19,23,12,17,17,14,10,15,75,66,62,72,76
1421,1422,184585,157303,2/15/2013 0:00,73,82,right,medium,medium,14,10,10,15,10,10,17,11,11,17,52,56,35,66,41,35,63,50,74,13,19,23,12,17,17,14,10,15,75,72,69,72,76
1422,1423,184585,157303,8/31/2012 0:00,73,82,right,medium,medium,14,10,10,15,10,10,17,11,11,17,52,56,35,66,41,35,63,50,74,13,19,23,12,17,17,14,10,15,75,72,69,72,76
1423,1424,184585,157303,2/22/2012 0:00,73,79,right,medium,medium,14,10,10,15,10,10,17,11,11,17,42,40,35,66,41,35,63,40,74,13,19,28,12,24,17,14,10,15,75,71,66,71,76
1424,1425,184585,157303,8/30/2011 0:00,71,79,right,medium,medium,14,10,10,15,10,10,17,11,11,17,42,40,35,55,41,35,63,40,51,13,19,28,12,24,17,14,10,15,73,71,64,71,73
1425,1426,184585,157303,2/22/2011 0:00,69,78,right,medium,medium,14,10,10,15,10,10,17,24,11,17,42,40,35,55,36,45,63,40,51,13,19,28,21,24,17,14,10,15,72,67,59,68,72
1426,1427,184585,157303,8/30/2010 0:00,61,78,right,medium,medium,9,5,10,15,5,5,17,24,11,17,42,40,35,55,36,45,63,40,51,8,19,28,21,24,17,9,10,15,63,56,57,58,68
1427,1428,184585,157303,2/22/2010 0:00,60,78,right,medium,medium,21,21,21,21,5,21,17,24,61,21,50,40,35,35,36,45,63,21,22,21,21,30,35,24,27,21,21,15,65,56,61,60,64
1428,1429,184585,157303,2/22/2009 0:00,60,78,right,medium,medium,21,21,21,21,5,21,17,24,61,21,50,40,35,35,36,45,63,21,22,21,21,30,35,24,27,21,21,15,65,56,61,60,64
1464,1465,53363,180197,6/9/2016 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1465,1466,53363,180197,6/2/2016 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1466,1467,53363,180197,5/19/2016 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1467,1468,53363,180197,2/18/2016 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1468,1469,53363,180197,1/21/2016 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1469,1470,53363,180197,9/21/2015 0:00,66,66,right,medium,medium,21,18,23,26,22,14,15,23,37,19,33,31,43,65,48,23,55,27,66,19,33,18,13,47,22,13,21,21,69,62,59,64,69
1470,1471,53363,180197,5/1/2015 0:00,65,65,right,medium,medium,20,25,24,25,21,25,25,25,36,24,33,39,43,65,48,35,55,27,62,26,32,25,25,25,21,25,20,20,68,61,58,63,68
1471,1472,53363,180197,4/17/2015 0:00,65,65,right,medium,medium,25,25,25,25,25,25,25,25,36,25,33,39,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,68,62,58,63,68
1472,1473,53363,180197,11/21/2014 0:00,65,65,right,medium,medium,25,25,25,25,25,25,25,25,36,25,33,39,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,68,62,58,63,68
1473,1474,53363,180197,10/10/2014 0:00,65,65,right,medium,medium,25,25,25,25,25,25,25,25,36,25,33,39,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,68,62,58,63,68
1474,1475,53363,180197,10/2/2014 0:00,63,63,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,20,21,25,25,25,65,60,58,62,63
1475,1476,53363,180197,9/18/2014 0:00,62,62,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,20,21,25,25,25,64,60,58,62,63
1476,1477,53363,180197,4/4/2014 0:00,62,62,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,21,21,25,25,25,64,60,58,62,63
1477,1478,53363,180197,3/28/2014 0:00,62,62,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,64,60,58,62,63
1478,1479,53363,180197,3/7/2014 0:00,61,61,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,65,58,60,57,64
1479,1480,53363,180197,1/24/2014 0:00,60,60,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,65,58,60,53,64
1480,1481,53363,180197,1/10/2014 0:00,60,60,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,65,58,60,53,64
1481,1482,53363,180197,11/1/2013 0:00,60,61,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,65,58,60,53,64
1482,1483,53363,180197,10/4/2013 0:00,59,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,53,60
1483,1484,53363,180197,9/20/2013 0:00,59,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,53,62
1484,1485,53363,180197,6/7/2013 0:00,59,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,53,62
1485,1486,53363,180197,5/3/2013 0:00,59,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,53,62
1486,1487,53363,180197,4/19/2013 0:00,59,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,53,62
1487,1488,53363,180197,4/5/2013 0:00,60,59,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,63,58,60,54,62
1488,1489,53363,180197,2/15/2013 0:00,63,66,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,25,25,67,65,63,58,66
1489,1490,53363,180197,8/31/2012 0:00,63,66,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,25,21,25,9,25,67,65,63,58,66
1490,1491,53363,180197,2/22/2012 0:00,63,66,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,42,21,25,9,25,67,65,64,63,64
1491,1492,53363,180197,8/30/2011 0:00,61,66,right,medium,medium,25,25,25,25,25,25,25,25,36,25,37,45,43,65,48,35,55,27,62,25,32,25,25,42,21,25,9,25,67,63,61,59,60
1492,1493,53363,180197,2/22/2011 0:00,61,66,right,medium,medium,25,25,27,25,25,20,25,25,36,25,37,45,43,65,28,35,55,27,62,25,32,25,25,42,21,25,20,25,67,63,61,59,60
1493,1494,53363,180197,8/30/2010 0:00,61,66,right,medium,medium,25,8,27,25,25,20,25,25,36,25,37,45,43,65,28,35,55,27,62,25,32,25,25,42,21,25,20,25,67,63,61,59,60
1494,1495,53363,180197,2/22/2010 0:00,60,64,right,medium,medium,21,26,27,25,25,21,25,25,59,25,37,45,43,65,28,35,55,52,57,21,32,48,22,42,51,21,21,25,67,60,59,59,56
1495,1496,53363,180197,8/30/2009 0:00,60,66,right,medium,medium,21,26,27,25,25,21,25,25,61,25,37,45,43,65,28,35,55,52,57,21,32,48,22,42,51,21,21,25,66,62,61,57,58
1496,1497,53363,180197,2/22/2007 0:00,60,66,right,medium,medium,21,26,27,25,25,21,25,25,61,25,37,45,43,65,28,35,55,52,57,21,32,48,22,42,51,21,21,25,66,62,61,57,58
1595,1596,164853,38617,11/19/2015 0:00,73,73,right,medium,medium,19,18,18,28,32,19,27,21,25,27,47,49,50,72,42,17,73,41,72,14,44,22,16,63,41,20,11,18,75,69,82,70,75
1596,1597,164853,38617,9/21/2015 0:00,73,73,right,medium,medium,19,18,18,28,32,19,27,21,25,27,47,49,50,72,42,17,73,41,72,14,44,22,16,16,41,20,11,18,75,69,82,70,75
1597,1598,164853,38617,5/8/2015 0:00,72,72,right,medium,medium,25,25,25,27,31,25,26,20,24,26,47,49,50,71,42,25,73,41,72,25,43,21,25,25,40,25,25,25,74,68,81,69,74
1598,1599,164853,38617,9/18/2014 0:00,72,72,right,medium,medium,25,25,25,27,31,25,26,20,24,26,47,49,50,71,42,25,73,41,72,25,43,21,25,25,40,25,25,25,74,69,81,69,74
1599,1600,164853,38617,1/10/2014 0:00,72,72,right,medium,medium,25,25,25,27,31,25,26,20,24,26,47,49,50,71,42,25,73,41,72,25,43,21,25,25,40,25,25,25,74,69,84,69,74
1600,1601,164853,38617,11/1/2013 0:00,72,74,right,medium,medium,25,25,25,27,31,25,26,20,24,26,47,49,50,71,42,25,73,41,72,25,43,21,25,25,40,25,25,25,74,69,84,69,74
1601,1602,164853,38617,9/20/2013 0:00,72,74,right,medium,medium,25,25,25,27,25,25,25,25,24,24,47,52,50,71,42,25,73,41,72,25,43,21,25,25,40,25,25,25,74,69,78,69,74
1602,1603,164853,38617,8/16/2013 0:00,72,74,right,medium,medium,18,17,17,27,15,18,17,18,24,24,47,52,50,71,42,16,73,53,72,13,61,21,15,35,40,19,10,17,74,69,78,69,74
1603,1604,164853,38617,5/3/2013 0:00,72,74,right,medium,medium,18,17,17,27,15,18,17,18,24,24,47,52,50,71,42,16,73,53,72,13,61,21,15,35,40,19,10,17,74,69,78,69,74
1604,1605,164853,38617,2/15/2013 0:00,72,74,right,medium,medium,18,17,17,27,15,18,17,18,24,24,47,52,50,60,42,16,73,53,72,13,61,21,15,35,40,19,10,17,75,69,79,69,75
1605,1606,164853,38617,8/31/2012 0:00,72,74,right,medium,medium,18,17,17,27,15,18,17,18,24,24,50,52,54,60,42,16,73,51,72,13,59,21,15,34,29,19,10,17,74,71,76,69,76
1606,1607,164853,38617,8/30/2011 0:00,69,71,right,medium,medium,18,17,17,27,15,18,17,18,24,24,48,43,54,60,42,16,73,61,72,13,59,21,15,39,29,19,10,17,71,66,75,67,74
1607,1608,164853,38617,2/22/2011 0:00,70,78,right,medium,medium,18,17,17,27,15,18,17,18,24,24,48,43,54,60,61,16,73,61,72,13,59,30,15,39,29,19,9,17,71,66,75,67,74
1608,1609,164853,38617,8/30/2010 0:00,70,78,right,medium,medium,18,17,17,27,15,18,17,18,24,24,48,43,54,60,61,16,73,61,72,21,59,30,15,39,29,19,24,17,71,66,70,67,74
1609,1610,164853,38617,2/22/2010 0:00,68,78,right,medium,medium,21,21,21,27,15,21,17,18,70,24,48,43,54,60,61,21,73,61,70,21,59,44,67,39,58,21,24,17,70,61,70,66,75
1610,1611,164853,38617,8/30/2009 0:00,70,78,right,medium,medium,21,21,21,27,15,21,17,18,70,24,48,43,54,60,61,21,73,61,70,21,59,44,67,39,58,21,24,17,70,61,70,66,80
1611,1612,164853,38617,2/22/2009 0:00,69,78,right,medium,medium,21,21,21,27,15,21,17,18,66,24,48,43,54,60,61,21,73,61,70,21,59,44,67,39,58,21,24,17,70,61,66,66,80
1612,1613,164853,38617,8/30/2008 0:00,67,78,right,medium,medium,21,21,21,27,15,21,17,18,53,24,48,43,54,60,61,21,73,61,70,21,59,44,67,39,58,21,24,17,72,61,53,58,80
1613,1614,164853,38617,8/30/2007 0:00,68,78,right,medium,medium,21,21,21,27,15,21,17,18,59,24,48,43,54,69,61,21,73,71,78,21,59,44,67,39,58,21,24,17,70,61,59,62,72
3139,3140,194911,169756,4/7/2016 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,75,48,40,69,38,74,20,38,25,12,32,44,14,19,14,80,75,71,75,86
3140,3141,194911,169756,3/17/2016 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,71,48,40,69,38,74,20,38,25,12,29,44,14,19,14,80,76,71,76,85
3141,3142,194911,169756,2/11/2016 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,71,48,40,69,38,74,20,38,25,12,14,44,14,19,14,80,76,71,76,85
3142,3143,194911,169756,1/28/2016 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,71,48,40,69,38,74,20,38,25,12,14,44,14,19,14,79,76,71,76,85
3143,3144,194911,169756,10/9/2015 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,71,48,40,69,38,74,20,38,25,12,14,44,14,19,14,78,76,71,76,85
3144,3145,194911,169756,9/21/2015 0:00,78,78,right,medium,medium,12,16,15,21,12,15,12,17,32,23,46,44,47,71,48,40,69,38,74,20,38,25,12,14,44,14,19,14,78,76,71,76,85
3145,3146,194911,169756,1/16/2015 0:00,77,77,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,41,25,25,25,77,75,70,75,84
3146,3147,194911,169756,11/14/2014 0:00,76,76,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,75,70,75,81
3147,3148,194911,169756,10/2/2014 0:00,76,76,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,76,72,75,81
3148,3149,194911,169756,5/2/2014 0:00,76,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,76,72,75,81
3149,3150,194911,169756,4/25/2014 0:00,76,79,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,76,72,75,81
3150,3151,194911,169756,4/4/2014 0:00,76,79,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,76,72,75,81
3151,3152,194911,169756,2/21/2014 0:00,77,79,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,79,72,75,80
3152,3153,194911,169756,2/7/2014 0:00,77,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,79,72,75,80
3153,3154,194911,169756,1/31/2014 0:00,76,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,75,79,70,75,80
3154,3155,194911,169756,1/17/2014 0:00,76,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,74,79,70,75,79
3155,3156,194911,169756,1/10/2014 0:00,76,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,72,79,70,75,79
3156,3157,194911,169756,1/3/2014 0:00,75,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,72,79,68,75,79
3157,3158,194911,169756,12/27/2013 0:00,76,78,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,72,82,64,75,79
3158,3159,194911,169756,9/20/2013 0:00,76,79,right,medium,medium,25,25,25,20,25,25,25,25,31,22,46,44,47,70,48,39,69,38,74,25,37,24,25,25,28,25,25,25,72,82,64,75,79
3159,3160,194911,169756,6/7/2013 0:00,76,79,right,medium,medium,21,15,22,20,25,14,23,16,31,22,46,44,47,70,48,39,69,38,74,19,37,24,11,26,28,13,18,13,72,82,64,75,79
3160,3161,194911,169756,5/17/2013 0:00,75,79,right,medium,medium,11,15,12,20,25,14,13,16,31,22,46,44,47,70,48,39,69,38,74,19,37,24,11,26,28,13,18,13,72,82,64,75,76
3161,3162,194911,169756,3/22/2013 0:00,73,79,right,medium,medium,11,15,12,20,25,14,13,16,31,22,46,44,47,70,48,39,68,38,74,19,37,24,11,26,28,13,18,13,71,79,64,74,72
3162,3163,194911,169756,2/22/2013 0:00,73,79,right,medium,medium,11,15,12,20,25,14,13,16,31,22,46,44,47,70,48,39,68,38,74,19,37,24,11,26,28,13,18,13,71,79,64,74,72
3163,3164,194911,169756,2/15/2013 0:00,73,79,right,medium,medium,11,15,12,20,25,14,13,16,31,22,46,44,47,70,48,39,68,38,74,19,37,24,11,26,28,13,18,13,71,79,64,74,72
3164,3165,194911,169756,8/31/2012 0:00,57,64,right,medium,medium,11,15,8,20,25,14,9,16,31,22,46,44,47,55,48,31,62,38,57,19,37,24,11,26,28,13,8,13,56,62,54,57,52
3165,3166,194911,169756,2/22/2010 0:00,57,64,right,medium,medium,11,15,8,20,25,14,9,16,31,22,46,44,47,55,48,31,62,38,57,19,37,24,11,26,28,13,8,13,56,62,54,57,52
3166,3167,194911,169756,2/22/2007 0:00,57,64,right,medium,medium,11,15,8,20,25,14,9,16,31,22,46,44,47,55,48,31,62,38,57,19,37,24,11,26,28,13,8,13,56,62,54,57,52
3172,3173,205122,280969,1/9/2015 0:00,70,70,right,medium,medium,25,25,25,27,25,25,25,25,25,26,36,39,32,66,48,25,73,30,69,25,31,21,25,25,29,25,25,25,71,70,65,69,73
3173,3174,205122,280969,12/5/2014 0:00,71,71,right,medium,medium,25,25,25,27,25,25,25,25,25,26,36,39,32,67,48,25,73,30,69,25,31,21,25,25,29,25,25,25,71,71,65,69,75
3174,3175,205122,280969,11/14/2014 0:00,72,72,right,medium,medium,25,25,25,27,25,25,25,25,25,26,36,39,32,67,48,25,73,30,69,25,31,21,25,25,29,25,25,25,72,72,67,70,76
3175,3176,205122,280969,9/18/2014 0:00,71,71,right,medium,medium,25,25,25,27,25,25,25,25,25,26,36,39,32,67,48,25,73,30,69,25,31,21,25,25,29,25,25,25,71,72,65,69,74
3176,3177,205122,280969,9/20/2013 0:00,69,69,right,medium,medium,25,25,25,27,25,25,25,25,25,26,36,39,32,64,48,25,73,30,69,25,31,21,25,25,29,25,25,25,69,71,65,65,72
3177,3178,205122,280969,7/5/2013 0:00,68,68,right,medium,medium,10,11,13,27,13,16,12,11,17,26,36,39,32,58,48,19,73,30,69,10,31,21,15,10,29,11,13,9,69,71,65,67,70
